code,name,c_name
1101,台泥,水泥工業
1216,統一,食品工業
1301,台塑,塑膠工業
1303,南亞,塑膠工業
1326,台化,塑膠工業
1402,遠東新,紡織纖維
1590,亞德客-KY,電機機械
2002,中鋼,鋼鐵工業
2207,和泰車,汽車工業
2303,聯電,電子工業
2308,台達電,電子零組件業
2317,鴻海,電子工業
2324,仁寶,電腦及週邊設備業
2327,國巨,電子零組件業
2330,台積電,電子工業
2357,華碩,電腦及週邊設備業
2379,瑞昱,電子工業
2382,廣達,電腦及週邊設備業
2395,研華,電腦及週邊設備業
2408,南亞科,電子工業
2409,友達,電子工業
2412,中華電,電子工業
2603,長榮,航運業
2609,陽明,航運業
2615,萬海,航運業
2801,彰銀,金融保險
2880,華南金,金融保險
2881,富邦金,金融保險
2882,國泰金,金融保險
2884,玉山金,金融保險
2885,元大金,金融保險
2886,兆豐金,金融保險
2887,台新金,金融保險
2891,中信金,金融保險
2892,第一金,金融保險
2912,統一超,貿易百貨
3008,大立光,電子工業
3034,聯詠,電子工業
3045,台灣大,電子工業
4904,遠傳,電子工業
4938,和碩,電腦及週邊設備業
5880,合庫金,金融保險
6415,矽力-KY,電子工業
6505,台塑化,油電燃氣業
8046,南電,電子零組件業
8454,富邦媒,貿易百貨
